,Aturan,Support XuY %,Support X %,Confidence %
416,"('Butter', 'Sugar')=>Milk",10.0,41.0,24.0
417,"('Sugar', 'Butter')=>Milk",10.0,41.0,24.0
418,"('Butter', 'Milk')=>chocolate",10.0,42.0,24.0
419,"('Butter', 'chocolate')=>Milk",10.0,41.0,25.0
420,"('Milk', 'Butter')=>chocolate",10.0,42.0,24.0
421,"('Milk', 'chocolate')=>Butter",10.0,42.0,24.0
422,"('chocolate', 'Butter')=>Milk",10.0,41.0,25.0
423,"('chocolate', 'Milk')=>Butter",10.0,42.0,24.0
424,"('Butter', 'Nutmeg')=>Onion",10.0,40.0,26.0
425,"('Butter', 'Onion')=>Nutmeg",10.0,40.0,26.0
426,"('Nutmeg', 'Butter')=>Onion",10.0,40.0,26.0
427,"('Nutmeg', 'Onion')=>Butter",10.0,42.0,25.0
428,"('Onion', 'Butter')=>Nutmeg",10.0,40.0,26.0
429,"('Onion', 'Nutmeg')=>Butter",10.0,42.0,25.0
430,"('Butter', 'Nutmeg')=>Sugar",10.0,41.0,24.0
431,"('Butter', 'Sugar')=>Nutmeg",10.0,40.0,24.0
432,"('Nutmeg', 'Butter')=>Sugar",10.0,41.0,24.0
433,"('Sugar', 'Butter')=>Nutmeg",10.0,40.0,24.0
434,"('Butter', 'Nutmeg')=>Yogurt",10.0,42.0,24.0
435,"('Butter', 'Yogurt')=>Nutmeg",10.0,40.0,25.0
436,"('Nutmeg', 'Butter')=>Yogurt",10.0,42.0,24.0
437,"('Nutmeg', 'Yogurt')=>Butter",10.0,42.0,24.0
438,"('Yogurt', 'Butter')=>Nutmeg",10.0,40.0,25.0
439,"('Yogurt', 'Nutmeg')=>Butter",10.0,42.0,24.0
440,"('Butter', 'chocolate')=>Nutmeg",10.0,40.0,24.0
441,"('chocolate', 'Butter')=>Nutmeg",10.0,40.0,24.0
442,"('Butter', 'Sugar')=>Onion",10.0,40.0,24.0
443,"('Sugar', 'Butter')=>Onion",10.0,40.0,24.0
444,"('Butter', 'Onion')=>Yogurt",10.0,42.0,24.0
445,"('Butter', 'Yogurt')=>Onion",10.0,40.0,25.0
446,"('Onion', 'Butter')=>Yogurt",10.0,42.0,24.0
447,"('Onion', 'Yogurt')=>Butter",10.0,42.0,24.0
448,"('Yogurt', 'Butter')=>Onion",10.0,40.0,25.0
449,"('Yogurt', 'Onion')=>Butter",10.0,42.0,24.0
450,"('Butter', 'chocolate')=>Onion",10.0,40.0,24.0
451,"('chocolate', 'Butter')=>Onion",10.0,40.0,24.0
452,"('Corn', 'Ice cream')=>Cheese",10.0,40.0,24.0
453,"('Ice cream', 'Corn')=>Cheese",10.0,40.0,24.0
454,"('Cheese', 'Corn')=>Kidney Beans",10.0,41.0,24.0
455,"('Cheese', 'Kidney Beans')=>Corn",10.0,41.0,24.0
456,"('Corn', 'Cheese')=>Kidney Beans",10.0,41.0,24.0
457,"('Corn', 'Kidney Beans')=>Cheese",10.0,40.0,24.0
458,"('Kidney Beans', 'Cheese')=>Corn",10.0,41.0,24.0
459,"('Kidney Beans', 'Corn')=>Cheese",10.0,40.0,24.0
460,"('Cheese', 'Corn')=>Onion",10.0,40.0,24.0
461,"('Corn', 'Cheese')=>Onion",10.0,40.0,24.0
462,"('Corn', 'Onion')=>Cheese",10.0,40.0,24.0
463,"('Onion', 'Corn')=>Cheese",10.0,40.0,24.0
464,"('Cheese', 'Dill')=>Onion",10.0,40.0,25.0
465,"('Cheese', 'Onion')=>Dill",10.0,40.0,26.0
466,"('Dill', 'Cheese')=>Onion",10.0,40.0,25.0
467,"('Dill', 'Onion')=>Cheese",10.0,40.0,25.0
468,"('Onion', 'Cheese')=>Dill",10.0,40.0,26.0
469,"('Onion', 'Dill')=>Cheese",10.0,40.0,25.0
470,"('Cheese', 'chocolate')=>Dill",10.0,40.0,24.0
471,"('Dill', 'chocolate')=>Cheese",10.0,40.0,24.0
472,"('chocolate', 'Cheese')=>Dill",10.0,40.0,24.0
473,"('chocolate', 'Dill')=>Cheese",10.0,40.0,24.0
474,"('Cheese', 'Ice cream')=>Kidney Beans",10.0,41.0,25.0
475,"('Cheese', 'Kidney Beans')=>Ice cream",10.0,41.0,25.0
476,"('Ice cream', 'Cheese')=>Kidney Beans",10.0,41.0,25.0
477,"('Ice cream', 'Kidney Beans')=>Cheese",10.0,40.0,26.0
478,"('Kidney Beans', 'Cheese')=>Ice cream",10.0,41.0,25.0
479,"('Kidney Beans', 'Ice cream')=>Cheese",10.0,40.0,26.0
480,"('Cheese', 'Ice cream')=>Nutmeg",10.0,40.0,24.0
481,"('Ice cream', 'Cheese')=>Nutmeg",10.0,40.0,24.0
482,"('Ice cream', 'Nutmeg')=>Cheese",10.0,40.0,24.0
483,"('Nutmeg', 'Ice cream')=>Cheese",10.0,40.0,24.0
484,"('Cheese', 'chocolate')=>Ice cream",10.0,41.0,24.0
485,"('Ice cream', 'chocolate')=>Cheese",10.0,40.0,24.0
486,"('chocolate', 'Cheese')=>Ice cream",10.0,41.0,24.0
487,"('chocolate', 'Ice cream')=>Cheese",10.0,40.0,24.0
488,"('Cheese', 'Kidney Beans')=>Milk",10.0,41.0,24.0
489,"('Cheese', 'Milk')=>Kidney Beans",10.0,41.0,24.0
490,"('Kidney Beans', 'Cheese')=>Milk",10.0,41.0,24.0
491,"('Kidney Beans', 'Milk')=>Cheese",10.0,40.0,24.0
492,"('Milk', 'Cheese')=>Kidney Beans",10.0,41.0,24.0
493,"('Milk', 'Kidney Beans')=>Cheese",10.0,40.0,24.0
494,"('Cheese', 'Kidney Beans')=>Nutmeg",10.0,40.0,25.0
495,"('Cheese', 'Nutmeg')=>Kidney Beans",10.0,41.0,25.0
496,"('Kidney Beans', 'Cheese')=>Nutmeg",10.0,40.0,25.0
497,"('Kidney Beans', 'Nutmeg')=>Cheese",10.0,40.0,25.0
498,"('Nutmeg', 'Cheese')=>Kidney Beans",10.0,41.0,25.0
499,"('Nutmeg', 'Kidney Beans')=>Cheese",10.0,40.0,25.0
500,"('Cheese', 'Kidney Beans')=>Sugar",10.0,41.0,25.0
501,"('Cheese', 'Sugar')=>Kidney Beans",10.0,41.0,25.0
502,"('Kidney Beans', 'Cheese')=>Sugar",10.0,41.0,25.0
503,"('Kidney Beans', 'Sugar')=>Cheese",10.0,40.0,25.0
504,"('Sugar', 'Cheese')=>Kidney Beans",10.0,41.0,25.0
505,"('Sugar', 'Kidney Beans')=>Cheese",10.0,40.0,25.0
506,"('Cheese', 'Kidney Beans')=>Unicorn",10.0,39.0,25.0
507,"('Cheese', 'Unicorn')=>Kidney Beans",10.0,41.0,24.0
508,"('Kidney Beans', 'Cheese')=>Unicorn",10.0,39.0,25.0
509,"('Kidney Beans', 'Unicorn')=>Cheese",10.0,40.0,24.0
510,"('Unicorn', 'Cheese')=>Kidney Beans",10.0,41.0,24.0
511,"('Unicorn', 'Kidney Beans')=>Cheese",10.0,40.0,24.0
512,"('Kidney Beans', 'Yogurt')=>Cheese",10.0,40.0,24.0
513,"('Yogurt', 'Kidney Beans')=>Cheese",10.0,40.0,24.0
514,"('Cheese', 'Kidney Beans')=>chocolate",10.0,42.0,24.0
515,"('Cheese', 'chocolate')=>Kidney Beans",10.0,41.0,25.0
516,"('Kidney Beans', 'Cheese')=>chocolate",10.0,42.0,24.0
517,"('Kidney Beans', 'chocolate')=>Cheese",10.0,40.0,25.0
518,"('chocolate', 'Cheese')=>Kidney Beans",10.0,41.0,25.0
519,"('chocolate', 'Kidney Beans')=>Cheese",10.0,40.0,25.0
520,"('Cheese', 'chocolate')=>Milk",10.0,41.0,24.0
521,"('Milk', 'chocolate')=>Cheese",10.0,40.0,24.0
522,"('chocolate', 'Cheese')=>Milk",10.0,41.0,24.0
523,"('chocolate', 'Milk')=>Cheese",10.0,40.0,24.0
524,"('Cheese', 'Nutmeg')=>Onion",10.0,40.0,25.0
525,"('Cheese', 'Onion')=>Nutmeg",10.0,40.0,25.0
526,"('Nutmeg', 'Cheese')=>Onion",10.0,40.0,25.0
527,"('Nutmeg', 'Onion')=>Cheese",10.0,40.0,25.0
528,"('Onion', 'Cheese')=>Nutmeg",10.0,40.0,25.0
529,"('Onion', 'Nutmeg')=>Cheese",10.0,40.0,25.0
530,"('Cheese', 'Sugar')=>Nutmeg",10.0,40.0,24.0
531,"('Nutmeg', 'Sugar')=>Cheese",10.0,40.0,24.0
532,"('Sugar', 'Cheese')=>Nutmeg",10.0,40.0,24.0
533,"('Sugar', 'Nutmeg')=>Cheese",10.0,40.0,24.0
534,"('Corn', 'Milk')=>Dill",10.0,40.0,24.0
535,"('Milk', 'Corn')=>Dill",10.0,40.0,24.0
536,"('Corn', 'Ice cream')=>Kidney Beans",10.0,41.0,24.0
537,"('Corn', 'Kidney Beans')=>Ice cream",10.0,41.0,24.0
538,"('Ice cream', 'Corn')=>Kidney Beans",10.0,41.0,24.0
539,"('Ice cream', 'Kidney Beans')=>Corn",10.0,41.0,24.0
540,"('Kidney Beans', 'Corn')=>Ice cream",10.0,41.0,24.0
541,"('Kidney Beans', 'Ice cream')=>Corn",10.0,41.0,24.0
542,"('Corn', 'Ice cream')=>Onion",10.0,40.0,24.0
543,"('Corn', 'Onion')=>Ice cream",10.0,41.0,24.0
544,"('Ice cream', 'Corn')=>Onion",10.0,40.0,24.0
545,"('Ice cream', 'Onion')=>Corn",10.0,41.0,24.0
546,"('Onion', 'Corn')=>Ice cream",10.0,41.0,24.0
547,"('Onion', 'Ice cream')=>Corn",10.0,41.0,24.0
548,"('Ice cream', 'Sugar')=>Corn",10.0,41.0,24.0
549,"('Sugar', 'Ice cream')=>Corn",10.0,41.0,24.0
550,"('Corn', 'Kidney Beans')=>Milk",11.0,41.0,26.0
551,"('Corn', 'Milk')=>Kidney Beans",11.0,41.0,26.0
552,"('Kidney Beans', 'Corn')=>Milk",11.0,41.0,26.0
553,"('Kidney Beans', 'Milk')=>Corn",11.0,41.0,26.0
554,"('Milk', 'Corn')=>Kidney Beans",11.0,41.0,26.0
555,"('Milk', 'Kidney Beans')=>Corn",11.0,41.0,26.0
556,"('Corn', 'Kidney Beans')=>Nutmeg",10.0,40.0,24.0
557,"('Corn', 'Nutmeg')=>Kidney Beans",10.0,41.0,24.0
558,"('Kidney Beans', 'Corn')=>Nutmeg",10.0,40.0,24.0
559,"('Kidney Beans', 'Nutmeg')=>Corn",10.0,41.0,24.0
560,"('Nutmeg', 'Corn')=>Kidney Beans",10.0,41.0,24.0
561,"('Nutmeg', 'Kidney Beans')=>Corn",10.0,41.0,24.0
562,"('Corn', 'Kidney Beans')=>Yogurt",10.0,42.0,24.0
563,"('Corn', 'Yogurt')=>Kidney Beans",10.0,41.0,25.0
564,"('Kidney Beans', 'Corn')=>Yogurt",10.0,42.0,24.0
565,"('Kidney Beans', 'Yogurt')=>Corn",10.0,41.0,25.0
566,"('Yogurt', 'Corn')=>Kidney Beans",10.0,41.0,25.0
567,"('Yogurt', 'Kidney Beans')=>Corn",10.0,41.0,25.0
568,"('Corn', 'Kidney Beans')=>chocolate",10.0,42.0,24.0
569,"('Corn', 'chocolate')=>Kidney Beans",10.0,41.0,25.0
570,"('Kidney Beans', 'Corn')=>chocolate",10.0,42.0,24.0
571,"('Kidney Beans', 'chocolate')=>Corn",10.0,41.0,25.0
572,"('chocolate', 'Corn')=>Kidney Beans",10.0,41.0,25.0
573,"('chocolate', 'Kidney Beans')=>Corn",10.0,41.0,25.0
574,"('Corn', 'Milk')=>chocolate",10.0,42.0,24.0
575,"('Corn', 'chocolate')=>Milk",10.0,41.0,25.0
576,"('Milk', 'Corn')=>chocolate",10.0,42.0,24.0
577,"('Milk', 'chocolate')=>Corn",10.0,41.0,25.0
578,"('chocolate', 'Corn')=>Milk",10.0,41.0,25.0
579,"('chocolate', 'Milk')=>Corn",10.0,41.0,25.0
580,"('Corn', 'Nutmeg')=>Onion",10.0,40.0,24.0
581,"('Corn', 'Onion')=>Nutmeg",10.0,40.0,24.0
582,"('Nutmeg', 'Corn')=>Onion",10.0,40.0,24.0
583,"('Onion', 'Corn')=>Nutmeg",10.0,40.0,24.0
584,"('Corn', 'Sugar')=>Nutmeg",10.0,40.0,24.0
585,"('Sugar', 'Corn')=>Nutmeg",10.0,40.0,24.0
586,"('Corn', 'chocolate')=>Onion",10.0,40.0,24.0
587,"('chocolate', 'Corn')=>Onion",10.0,40.0,24.0
588,"('Yogurt', 'chocolate')=>Corn",10.0,41.0,24.0
589,"('chocolate', 'Yogurt')=>Corn",10.0,41.0,24.0
590,"('Dill', 'Ice cream')=>Onion",10.0,40.0,24.0
591,"('Ice cream', 'Dill')=>Onion",10.0,40.0,24.0
592,"('Ice cream', 'Onion')=>Dill",10.0,40.0,24.0
593,"('Onion', 'Ice cream')=>Dill",10.0,40.0,24.0
594,"('Dill', 'Ice cream')=>chocolate",10.0,42.0,24.0
595,"('Dill', 'chocolate')=>Ice cream",10.0,41.0,25.0
596,"('Ice cream', 'Dill')=>chocolate",10.0,42.0,24.0
597,"('Ice cream', 'chocolate')=>Dill",10.0,40.0,26.0
598,"('chocolate', 'Dill')=>Ice cream",10.0,41.0,25.0
599,"('chocolate', 'Ice cream')=>Dill",10.0,40.0,26.0
600,"('Dill', 'chocolate')=>Kidney Beans",10.0,41.0,24.0
601,"('Kidney Beans', 'chocolate')=>Dill",10.0,40.0,24.0
602,"('chocolate', 'Dill')=>Kidney Beans",10.0,41.0,24.0
603,"('chocolate', 'Kidney Beans')=>Dill",10.0,40.0,24.0
604,"('Dill', 'Milk')=>Onion",10.0,40.0,24.0
605,"('Milk', 'Dill')=>Onion",10.0,40.0,24.0
606,"('Milk', 'Onion')=>Dill",10.0,40.0,24.0
607,"('Onion', 'Milk')=>Dill",10.0,40.0,24.0
608,"('Dill', 'Milk')=>chocolate",11.0,42.0,27.0
609,"('Dill', 'chocolate')=>Milk",11.0,41.0,28.000000000000004
610,"('Milk', 'Dill')=>chocolate",11.0,42.0,27.0
611,"('Milk', 'chocolate')=>Dill",11.0,40.0,28.999999999999996
612,"('chocolate', 'Dill')=>Milk",11.0,41.0,28.000000000000004
613,"('chocolate', 'Milk')=>Dill",11.0,40.0,28.999999999999996
614,"('Dill', 'Nutmeg')=>Onion",10.0,40.0,24.0
615,"('Dill', 'Onion')=>Nutmeg",10.0,40.0,24.0
616,"('Nutmeg', 'Dill')=>Onion",10.0,40.0,24.0
617,"('Nutmeg', 'Onion')=>Dill",10.0,40.0,24.0
618,"('Onion', 'Dill')=>Nutmeg",10.0,40.0,24.0
619,"('Onion', 'Nutmeg')=>Dill",10.0,40.0,24.0
620,"('Dill', 'Onion')=>chocolate",10.0,42.0,24.0
621,"('Dill', 'chocolate')=>Onion",10.0,40.0,26.0
622,"('Onion', 'Dill')=>chocolate",10.0,42.0,24.0
623,"('Onion', 'chocolate')=>Dill",10.0,40.0,26.0
624,"('chocolate', 'Dill')=>Onion",10.0,40.0,26.0
625,"('chocolate', 'Onion')=>Dill",10.0,40.0,26.0
626,"('Dill', 'Unicorn')=>chocolate",10.0,42.0,24.0
627,"('Dill', 'chocolate')=>Unicorn",10.0,39.0,26.0
628,"('Unicorn', 'Dill')=>chocolate",10.0,42.0,24.0
629,"('Unicorn', 'chocolate')=>Dill",10.0,40.0,25.0
630,"('chocolate', 'Dill')=>Unicorn",10.0,39.0,26.0
631,"('chocolate', 'Unicorn')=>Dill",10.0,40.0,25.0
632,"('Ice cream', 'Sugar')=>Kidney Beans",10.0,41.0,24.0
633,"('Sugar', 'Ice cream')=>Kidney Beans",10.0,41.0,24.0
634,"('Ice cream', 'Kidney Beans')=>Yogurt",10.0,42.0,24.0
635,"('Ice cream', 'Yogurt')=>Kidney Beans",10.0,41.0,24.0
636,"('Kidney Beans', 'Ice cream')=>Yogurt",10.0,42.0,24.0
637,"('Kidney Beans', 'Yogurt')=>Ice cream",10.0,41.0,24.0
638,"('Yogurt', 'Ice cream')=>Kidney Beans",10.0,41.0,24.0
639,"('Yogurt', 'Kidney Beans')=>Ice cream",10.0,41.0,24.0
640,"('Ice cream', 'Kidney Beans')=>chocolate",10.0,42.0,24.0
641,"('Ice cream', 'chocolate')=>Kidney Beans",10.0,41.0,24.0
642,"('Kidney Beans', 'Ice cream')=>chocolate",10.0,42.0,24.0
643,"('Kidney Beans', 'chocolate')=>Ice cream",10.0,41.0,24.0
644,"('chocolate', 'Ice cream')=>Kidney Beans",10.0,41.0,24.0
645,"('chocolate', 'Kidney Beans')=>Ice cream",10.0,41.0,24.0
646,"('Ice cream', 'Milk')=>Onion",10.0,40.0,24.0
647,"('Milk', 'Ice cream')=>Onion",10.0,40.0,24.0
648,"('Ice cream', 'Milk')=>chocolate",10.0,42.0,24.0
649,"('Ice cream', 'chocolate')=>Milk",10.0,41.0,24.0
650,"('Milk', 'Ice cream')=>chocolate",10.0,42.0,24.0
651,"('Milk', 'chocolate')=>Ice cream",10.0,41.0,24.0
652,"('chocolate', 'Ice cream')=>Milk",10.0,41.0,24.0
653,"('chocolate', 'Milk')=>Ice cream",10.0,41.0,24.0
654,"('Ice cream', 'Nutmeg')=>Onion",10.0,40.0,25.0
655,"('Ice cream', 'Onion')=>Nutmeg",10.0,40.0,25.0
656,"('Nutmeg', 'Ice cream')=>Onion",10.0,40.0,25.0
657,"('Nutmeg', 'Onion')=>Ice cream",10.0,41.0,24.0
658,"('Onion', 'Ice cream')=>Nutmeg",10.0,40.0,25.0
659,"('Onion', 'Nutmeg')=>Ice cream",10.0,41.0,24.0
660,"('Ice cream', 'Nutmeg')=>Sugar",10.0,41.0,24.0
661,"('Ice cream', 'Sugar')=>Nutmeg",10.0,40.0,24.0
662,"('Nutmeg', 'Ice cream')=>Sugar",10.0,41.0,24.0
663,"('Nutmeg', 'Sugar')=>Ice cream",10.0,41.0,24.0
664,"('Sugar', 'Ice cream')=>Nutmeg",10.0,40.0,24.0
665,"('Sugar', 'Nutmeg')=>Ice cream",10.0,41.0,24.0
666,"('Ice cream', 'Nutmeg')=>chocolate",10.0,42.0,24.0
667,"('Ice cream', 'chocolate')=>Nutmeg",10.0,40.0,25.0
668,"('Nutmeg', 'Ice cream')=>chocolate",10.0,42.0,24.0
669,"('Nutmeg', 'chocolate')=>Ice cream",10.0,41.0,25.0
670,"('chocolate', 'Ice cream')=>Nutmeg",10.0,40.0,25.0
671,"('chocolate', 'Nutmeg')=>Ice cream",10.0,41.0,25.0
672,"('Ice cream', 'Onion')=>Sugar",10.0,41.0,24.0
673,"('Ice cream', 'Sugar')=>Onion",10.0,40.0,24.0
674,"('Onion', 'Ice cream')=>Sugar",10.0,41.0,24.0
675,"('Onion', 'Sugar')=>Ice cream",10.0,41.0,24.0
676,"('Sugar', 'Ice cream')=>Onion",10.0,40.0,24.0
677,"('Sugar', 'Onion')=>Ice cream",10.0,41.0,24.0
678,"('Ice cream', 'Onion')=>chocolate",10.0,42.0,24.0
679,"('Ice cream', 'chocolate')=>Onion",10.0,40.0,25.0
680,"('Onion', 'Ice cream')=>chocolate",10.0,42.0,24.0
681,"('Onion', 'chocolate')=>Ice cream",10.0,41.0,25.0
682,"('chocolate', 'Ice cream')=>Onion",10.0,40.0,25.0
683,"('chocolate', 'Onion')=>Ice cream",10.0,41.0,25.0
684,"('Ice cream', 'chocolate')=>Unicorn",10.0,39.0,25.0
685,"('Unicorn', 'chocolate')=>Ice cream",10.0,41.0,24.0
686,"('chocolate', 'Ice cream')=>Unicorn",10.0,39.0,25.0
687,"('chocolate', 'Unicorn')=>Ice cream",10.0,41.0,24.0
688,"('Kidney Beans', 'Milk')=>Nutmeg",10.0,40.0,25.0
689,"('Kidney Beans', 'Nutmeg')=>Milk",10.0,41.0,25.0
690,"('Milk', 'Kidney Beans')=>Nutmeg",10.0,40.0,25.0
691,"('Milk', 'Nutmeg')=>Kidney Beans",10.0,41.0,25.0
692,"('Nutmeg', 'Kidney Beans')=>Milk",10.0,41.0,25.0
693,"('Nutmeg', 'Milk')=>Kidney Beans",10.0,41.0,25.0
694,"('Kidney Beans', 'Milk')=>Unicorn",10.0,39.0,25.0
695,"('Kidney Beans', 'Unicorn')=>Milk",10.0,41.0,24.0
696,"('Milk', 'Kidney Beans')=>Unicorn",10.0,39.0,25.0
697,"('Milk', 'Unicorn')=>Kidney Beans",10.0,41.0,24.0
698,"('Unicorn', 'Kidney Beans')=>Milk",10.0,41.0,24.0
699,"('Unicorn', 'Milk')=>Kidney Beans",10.0,41.0,24.0
700,"('Kidney Beans', 'Milk')=>Yogurt",10.0,42.0,24.0
701,"('Kidney Beans', 'Yogurt')=>Milk",10.0,41.0,24.0
702,"('Milk', 'Kidney Beans')=>Yogurt",10.0,42.0,24.0
703,"('Milk', 'Yogurt')=>Kidney Beans",10.0,41.0,24.0
704,"('Yogurt', 'Kidney Beans')=>Milk",10.0,41.0,24.0
705,"('Yogurt', 'Milk')=>Kidney Beans",10.0,41.0,24.0
706,"('Kidney Beans', 'chocolate')=>Milk",10.0,41.0,24.0
707,"('Milk', 'chocolate')=>Kidney Beans",10.0,41.0,24.0
708,"('chocolate', 'Kidney Beans')=>Milk",10.0,41.0,24.0
709,"('chocolate', 'Milk')=>Kidney Beans",10.0,41.0,24.0
710,"('Kidney Beans', 'Nutmeg')=>Sugar",10.0,41.0,24.0
711,"('Kidney Beans', 'Sugar')=>Nutmeg",10.0,40.0,24.0
712,"('Nutmeg', 'Kidney Beans')=>Sugar",10.0,41.0,24.0
713,"('Nutmeg', 'Sugar')=>Kidney Beans",10.0,41.0,24.0
714,"('Sugar', 'Kidney Beans')=>Nutmeg",10.0,40.0,24.0
715,"('Sugar', 'Nutmeg')=>Kidney Beans",10.0,41.0,24.0
716,"('Kidney Beans', 'Nutmeg')=>Yogurt",10.0,42.0,24.0
717,"('Kidney Beans', 'Yogurt')=>Nutmeg",10.0,40.0,25.0
718,"('Nutmeg', 'Kidney Beans')=>Yogurt",10.0,42.0,24.0
719,"('Nutmeg', 'Yogurt')=>Kidney Beans",10.0,41.0,25.0
720,"('Yogurt', 'Kidney Beans')=>Nutmeg",10.0,40.0,25.0
721,"('Yogurt', 'Nutmeg')=>Kidney Beans",10.0,41.0,25.0
722,"('Kidney Beans', 'chocolate')=>Nutmeg",10.0,40.0,24.0
723,"('Nutmeg', 'chocolate')=>Kidney Beans",10.0,41.0,24.0
724,"('chocolate', 'Kidney Beans')=>Nutmeg",10.0,40.0,24.0
725,"('chocolate', 'Nutmeg')=>Kidney Beans",10.0,41.0,24.0
726,"('Milk', 'Sugar')=>Onion",10.0,40.0,24.0
727,"('Onion', 'Sugar')=>Milk",10.0,41.0,24.0
728,"('Sugar', 'Milk')=>Onion",10.0,40.0,24.0
729,"('Sugar', 'Onion')=>Milk",10.0,41.0,24.0
730,"('Milk', 'Onion')=>chocolate",10.0,42.0,24.0
731,"('Milk', 'chocolate')=>Onion",10.0,40.0,25.0
732,"('Onion', 'Milk')=>chocolate",10.0,42.0,24.0
733,"('Onion', 'chocolate')=>Milk",10.0,41.0,24.0
734,"('chocolate', 'Milk')=>Onion",10.0,40.0,25.0
735,"('chocolate', 'Onion')=>Milk",10.0,41.0,24.0
736,"('Milk', 'chocolate')=>Sugar",10.0,41.0,24.0
737,"('Sugar', 'chocolate')=>Milk",10.0,41.0,24.0
738,"('chocolate', 'Milk')=>Sugar",10.0,41.0,24.0
739,"('chocolate', 'Sugar')=>Milk",10.0,41.0,24.0
740,"('Milk', 'chocolate')=>Unicorn",10.0,39.0,25.0
741,"('Unicorn', 'chocolate')=>Milk",10.0,41.0,24.0
742,"('chocolate', 'Milk')=>Unicorn",10.0,39.0,25.0
743,"('chocolate', 'Unicorn')=>Milk",10.0,41.0,24.0
744,"('Milk', 'Yogurt')=>chocolate",10.0,42.0,25.0
745,"('Milk', 'chocolate')=>Yogurt",10.0,42.0,25.0
746,"('Yogurt', 'Milk')=>chocolate",10.0,42.0,25.0
747,"('Yogurt', 'chocolate')=>Milk",10.0,41.0,26.0
748,"('chocolate', 'Milk')=>Yogurt",10.0,42.0,25.0
749,"('chocolate', 'Yogurt')=>Milk",10.0,41.0,26.0
750,"('Nutmeg', 'Yogurt')=>Onion",10.0,40.0,24.0
751,"('Onion', 'Yogurt')=>Nutmeg",10.0,40.0,24.0
752,"('Yogurt', 'Nutmeg')=>Onion",10.0,40.0,24.0
753,"('Yogurt', 'Onion')=>Nutmeg",10.0,40.0,24.0
754,"('Nutmeg', 'Onion')=>chocolate",10.0,42.0,24.0
755,"('Nutmeg', 'chocolate')=>Onion",10.0,40.0,25.0
756,"('Onion', 'Nutmeg')=>chocolate",10.0,42.0,24.0
757,"('Onion', 'chocolate')=>Nutmeg",10.0,40.0,25.0
758,"('chocolate', 'Nutmeg')=>Onion",10.0,40.0,25.0
759,"('chocolate', 'Onion')=>Nutmeg",10.0,40.0,25.0
760,"('Onion', 'Sugar')=>Unicorn",10.0,39.0,25.0
761,"('Sugar', 'Onion')=>Unicorn",10.0,39.0,25.0
762,"('Sugar', 'Unicorn')=>Onion",10.0,40.0,24.0
763,"('Unicorn', 'Sugar')=>Onion",10.0,40.0,24.0
764,"('Sugar', 'Yogurt')=>Onion",10.0,40.0,24.0
765,"('Yogurt', 'Sugar')=>Onion",10.0,40.0,24.0
766,"('Onion', 'Unicorn')=>chocolate",10.0,42.0,24.0
767,"('Onion', 'chocolate')=>Unicorn",10.0,39.0,25.0
768,"('Unicorn', 'Onion')=>chocolate",10.0,42.0,24.0
769,"('Unicorn', 'chocolate')=>Onion",10.0,40.0,25.0
770,"('chocolate', 'Onion')=>Unicorn",10.0,39.0,25.0
771,"('chocolate', 'Unicorn')=>Onion",10.0,40.0,25.0
772,"('Yogurt', 'chocolate')=>Onion",10.0,40.0,24.0
773,"('chocolate', 'Yogurt')=>Onion",10.0,40.0,24.0
